"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"349548225","810504390172","","PayerLineItem","6800000118409925164","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","SoftwareUsage:m4.xlarge","Hourly","936534208","AWS Marketplace hourly software usage|us-east-1|m4.xlarge","2019/11/07 16:30:05","2019/11/30 23:59:59","292.00000000","","USD","5.84","0.0","0.000000","None","5.840000"
"349548225","810504390172","","PayerLineItem","6800000118409925165","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","SoftwareUsage:m4.large","Hourly","936601566","AWS Marketplace hourly software usage|us-east-1|m4.large","2019/11/07 16:30:05","2019/11/30 23:59:59","312.00000000","","USD","6.24","0.0","0.000000","None","6.240000"
"349548225","810504390172","","PayerLineItem","6800000118409925166","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","SoftwareUsage:m4.2xlarge","Hourly","936601699","AWS Marketplace hourly software usage|us-east-1|m4.2xlarge","2019/11/07 16:30:05","2019/11/30 23:59:59","3344.00000000","","USD","66.88","0.0","0.000000","None","66.880000"
"349548225","810504390172","","PayerLineItem","6800000118409925167","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","USW2-SoftwareUsage:m4.large","Hourly","936601635","AWS Marketplace hourly software usage|us-west-2|m4.large","2019/11/07 16:30:05","2019/11/30 23:59:59","2170.00000000","","USD","43.40","0.0","0.000000","None","43.400000"
"349548225","810504390172","","PayerLineItem","6800000118409925168","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","USW2-SoftwareUsage:t2.medium","Hourly","936601967","AWS Marketplace hourly software usage|us-west-2|t2.medium","2019/11/07 16:30:05","2019/11/30 23:59:59","1609.00000000","","USD","32.18","0.0","0.000000","None","32.180000"
"349548225","810504390172","213305845712","LinkedLineItem","6800000118409834384","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","search.gov","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","USW2-SoftwareUsage:t2.medium","Hourly","936601967","AWS Marketplace hourly software usage|us-west-2|t2.medium","2019/11/07 16:30:05","2019/11/30 23:59:59","1609.00000000","","USD","32.1800000000","0.0","0.000000","None","32.1800000000"
"349548225","810504390172","213305845712","LinkedLineItem","6800000118409834385","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","search.gov","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","SoftwareUsage:m4.large","Hourly","936601566","AWS Marketplace hourly software usage|us-east-1|m4.large","2019/11/07 16:30:05","2019/11/30 23:59:59","312.00000000","","USD","6.2400000000","0.0","0.000000","None","6.2400000000"
"349548225","810504390172","213305845712","LinkedLineItem","6800000118409834386","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","search.gov","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","SoftwareUsage:m4.2xlarge","Hourly","936601699","AWS Marketplace hourly software usage|us-east-1|m4.2xlarge","2019/11/07 16:30:05","2019/11/30 23:59:59","3344.00000000","","USD","66.8800000000","0.0","0.000000","None","66.8800000000"
"349548225","810504390172","213305845712","LinkedLineItem","6800000118409834387","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","search.gov","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","USW2-SoftwareUsage:m4.large","Hourly","936601635","AWS Marketplace hourly software usage|us-west-2|m4.large","2019/11/07 16:30:05","2019/11/30 23:59:59","2170.00000000","","USD","43.4000000000","0.0","0.000000","None","43.4000000000"
"349548225","810504390172","213305845712","LinkedLineItem","6800000118409834388","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","search.gov","","","78gqx29lbuda22zi3y8550ysj","CIS Ubuntu Linux 14.04 LTS Benchmark v2.0.0.1 - Level 1","Center for Internet Security (Orbitera)","SoftwareUsage:m4.xlarge","Hourly","936534208","AWS Marketplace hourly software usage|us-east-1|m4.xlarge","2019/11/07 16:30:05","2019/11/30 23:59:59","292.00000000","","USD","5.8400000000","0.0","0.000000","None","5.8400000000"
"349548225","810504390172","","InvoiceTotal","InvoiceTotal:349548225","2019/11/01 00:00:00","2019/11/30 23:59:59","2019/12/03 18:47:09","FPT202 GSA TTS Payer","","","","","","","","","","Total amount for invoice 349548225","","","","","USD","154.54","0.0","0.000000","","154.54"
